encoder,dataset,model,tier_pair,n,acc
crossencoder,aep_dataset,bge-base-en-v1.5,T4-T7,188,0.882979
crossencoder,aep_dataset,bge-base-en-v1.5,T4-T8,188,0.936170
crossencoder,aep_dataset,bge-base-en-v1.5,T4-T9,188,0.872340
crossencoder,aep_dataset,bge-base-en-v1.5,T4-T10,188,0.984043
crossencoder,aep_dataset,bge-base-en-v1.5,T4-T11,188,0.978723
crossencoder,aep_dataset,bge-base-en-v1.5,T6-T7,188,0.739362
crossencoder,aep_dataset,bge-base-en-v1.5,T6-T8,188,0.920213
crossencoder,aep_dataset,bge-base-en-v1.5,T6-T9,188,0.893617
crossencoder,aep_dataset,bge-base-en-v1.5,T6-T10,188,0.962766
crossencoder,aep_dataset,bge-base-en-v1.5,T6-T11,188,0.989362
crossencoder,aep_dataset,bge-base-en-v1.5,T7-T8,188,0.787234
crossencoder,aep_dataset,bge-base-en-v1.5,T7-T9,188,0.872340
crossencoder,aep_dataset,bge-base-en-v1.5,T7-T10,188,0.914894
crossencoder,aep_dataset,bge-base-en-v1.5,T7-T11,188,0.968085
crossencoder,aep_dataset,bge-base-en-v1.5,T8-T9,188,0.808511
crossencoder,aep_dataset,bge-base-en-v1.5,T8-T10,188,0.835106
crossencoder,aep_dataset,bge-base-en-v1.5,T8-T11,188,0.946809
crossencoder,aep_dataset,bge-base-en-v1.5,T9-T10,188,0.824468
crossencoder,aep_dataset,bge-base-en-v1.5,T9-T11,188,0.914894
crossencoder,aep_dataset,bge-base-en-v1.5,T10-T11,188,0.856383
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T2,188,0.750000
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T3,188,0.845745
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T4,188,0.845745
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T6,188,0.909574
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T7,188,0.867021
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T8,188,0.861702
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T9,188,0.962766
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T10,188,0.957447
crossencoder,aep_dataset,bge-large-en-v1.5,T1-T11,188,0.984043
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T3,188,0.835106
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T4,188,0.851064
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T6,188,0.904255
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T7,188,0.957447
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T8,188,0.973404
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T9,188,0.946809
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T10,188,0.984043
crossencoder,aep_dataset,bge-large-en-v1.5,T2-T11,188,0.989362
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T4,188,0.824468
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T6,188,0.930851
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T7,188,0.952128
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T8,188,0.962766
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T9,188,0.978723
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T10,188,0.989362
crossencoder,aep_dataset,bge-large-en-v1.5,T3-T11,188,0.994681
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T6,188,0.882979
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T7,188,0.882979
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T8,188,0.973404
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T9,188,0.909574
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T10,188,0.952128
crossencoder,aep_dataset,bge-large-en-v1.5,T4-T11,188,0.978723
crossencoder,aep_dataset,bge-large-en-v1.5,T6-T7,188,0.829787
crossencoder,aep_dataset,bge-large-en-v1.5,T6-T8,188,0.957447
crossencoder,aep_dataset,bge-large-en-v1.5,T6-T9,188,0.925532
crossencoder,aep_dataset,bge-large-en-v1.5,T6-T10,188,0.851064
crossencoder,aep_dataset,bge-large-en-v1.5,T6-T11,188,0.952128
crossencoder,aep_dataset,bge-large-en-v1.5,T7-T8,188,0.909574
crossencoder,aep_dataset,bge-large-en-v1.5,T7-T9,188,0.925532
crossencoder,aep_dataset,bge-large-en-v1.5,T7-T10,188,0.845745
crossencoder,aep_dataset,bge-large-en-v1.5,T7-T11,188,0.973404
crossencoder,aep_dataset,bge-large-en-v1.5,T8-T9,188,0.840426
crossencoder,aep_dataset,bge-large-en-v1.5,T8-T10,188,0.819149
crossencoder,aep_dataset,bge-large-en-v1.5,T8-T11,188,0.952128
crossencoder,aep_dataset,bge-large-en-v1.5,T9-T10,188,0.819149
crossencoder,aep_dataset,bge-large-en-v1.5,T9-T11,188,0.925532
crossencoder,aep_dataset,bge-large-en-v1.5,T10-T11,188,0.904255
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T1,2,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T2,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T3,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T4,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T5,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T6,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T7,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T8,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T10,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T1-T12,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T3,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T4,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T6,3,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T7,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T9,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T11,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T14,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T2-T15,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T3,6,0.833333
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T4,6,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T5,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T6,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T7,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T8,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T9,3,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T11,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T12,3,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T14,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T3-T15,4,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T4,3,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T5,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T8,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T9,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T10,3,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T11,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T4-T15,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T5,24,0.791667
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T6,4,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T7,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T8,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T10,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T11,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T5-T14,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T6,33,0.818182
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T8,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T9,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T10,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T11,4,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T12,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T13,4,0.750000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T6-T15,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T7,13,0.615385
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T8,4,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T9,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T10,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T11,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T12,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T7-T13,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T8,3,0.666667
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T10,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T11,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T12,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T13,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T8-T15,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T9,15,0.666667
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T10,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T11,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T12,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T13,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T9-T14,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T10,17,0.882353
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T11,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T12,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T14,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T10-T15,1,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T11-T11,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T11-T12,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T11-T13,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T11-T14,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T12-T12,26,0.653846
crossencoder,aep_causal_wf_v3,deberta-v3-large,T12-T13,2,0.500000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T12-T14,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T12-T15,3,0.666667
crossencoder,aep_causal_wf_v3,deberta-v3-large,T13-T13,5,0.800000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T13-T15,2,1.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T14-T14,10,0.200000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T14-T15,1,0.000000
crossencoder,aep_causal_wf_v3,deberta-v3-large,T15-T15,20,0.700000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T1,2,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T2,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T3,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T4,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T5,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T6,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T7,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T8,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T10,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T1-T12,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T3,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T4,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T6,3,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T7,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T9,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T2-T15,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T3,6,0.666667
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T4,6,0.666667
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T5,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T6,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T7,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T8,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T9,3,0.666667
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T12,3,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T3-T15,4,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T4,3,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T5,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T8,2,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T9,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T10,3,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T4-T15,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T5,24,0.625000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T6,4,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T7,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T8,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T10,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T11,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T5-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T6,33,0.424242
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T8,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T9,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T10,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T11,4,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T13,4,0.750000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T6-T15,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T7,13,0.692308
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T8,4,0.750000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T9,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T10,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T12,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T7-T13,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T8,3,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T10,2,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T11,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T13,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T8-T15,2,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T9,15,0.600000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T10,2,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T12,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T13,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T9-T14,2,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T10,17,0.941176
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T12,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T14,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T10-T15,1,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T11-T11,2,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T11-T12,2,0.500000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T11-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T11-T14,2,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T12-T12,26,0.692308
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T12-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T12-T14,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T12-T15,3,0.666667
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T13-T13,5,0.200000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T13-T15,2,1.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T14-T14,10,0.300000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T14-T15,1,0.000000
crossencoder,aep_causal_wf_v3,all-mpnet-base-v2,T15-T15,20,0.800000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T1,2,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T2,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T3,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T4,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T5,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T6,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T7,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T8,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T10,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T1-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T3,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T4,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T6,3,0.666667
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T7,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T9,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T13,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T2-T15,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T3,6,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T4,6,0.833333
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T5,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T6,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T7,2,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T8,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T9,3,0.666667
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T11,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T12,3,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T13,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T3-T15,4,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T4,3,0.333333
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T5,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T8,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T9,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T10,3,0.333333
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T13,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T4-T15,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T5,24,0.666667
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T6,4,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T7,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T8,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T10,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T11,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T13,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T5-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T6,33,0.575758
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T8,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T9,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T10,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T11,4,0.250000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T13,4,0.250000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T6-T15,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T7,13,0.538462
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T8,4,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T9,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T10,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T7-T13,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T8,3,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T10,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T11,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T13,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T8-T15,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T9,15,0.666667
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T10,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T11,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T12,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T13,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T9-T14,2,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T10,17,0.705882
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T11,1,0.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T12,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T13,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T14,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T10-T15,1,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T11-T11,2,1.000000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T11-T12,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T11-T13,2,0.500000
crossencoder,aep_causal_wf_v3,all-MiniLM-L6-v2,T11-T14,2,0.000000
